"GEO_NR","GEO_NAME","CLASS_HAB","GEOM_PERIOD","VARIABLE","SOURCE","VALUE_PERIOD","UNIT_VALUE","VALUE","STATUS"
"CH","Schweiz / Suisse","Total","2023-01-01","etab_t","STATENT","2021","Num","703957.0","A"
"CH","Schweiz / Suisse","Total","2023-01-01","etab_1_9","STATENT","2021","Num","608056.0","A"
"CH","Schweiz / Suisse","Total","2023-01-01","etab_10_49","STATENT","2021","Num","79720.0","A"
"CH","Schweiz / Suisse","Total","2023-01-01","etab_50_249","STATENT","2021","Num","14365.0","A"
"CH","Schweiz / Suisse","Total","2023-01-01","etab_1_249","STATENT","2021","Num","702141.0","A"
"CH","Schweiz / Suisse","Total","2023-01-01","etab_250p","STATENT","2021","Num","1816.0","A"
"CH","Schweiz / Suisse","Total","2023-01-01","emp_s1","STATENT","2021","Num","160306.0","A"
"CH","Schweiz / Suisse","Total","2023-01-01","emp_s2","STATENT","2021","Num","1087112.0","A"
"CH","Schweiz / Suisse","Total","2023-01-01","emp_s3","STATENT","2021","Num","4170581.0","A"
"CH","Schweiz / Suisse","Total","2023-01-01","emp_t","STATENT","2021","Num","5417999.0","A"
"CH","Schweiz / Suisse","Total","2023-01-01","chom_t","SECO","2022","Num","99577.0","A"
"CH","Schweiz / Suisse","Total","2023-01-01","chom_f","SECO","2022","Num","44409.0","A"
"CH","Schweiz / Suisse","Total","2023-01-01","chom_s2","SECO","2022","Num","23592.0","A"
"CH","Schweiz / Suisse","Total","2023-01-01","chom_s3","SECO","2022","Num","70579.0","A"
"CH","Schweiz / Suisse","Total","2023-01-01","chom_com_t","SECO","2022","Num","80331.0","A"
"CH","Schweiz / Suisse","Total","2023-01-01","chom_com_f","SECO","2022","Num","29220.0","A"
"CH","Schweiz / Suisse","Total","2023-01-01","chom_par_t","SECO","2022","Num","19246.0","A"
"CH","Schweiz / Suisse","Total","2023-01-01","chom_par_f","SECO","2022","Num","15190.0","A"
"CH","Schweiz / Suisse","Total","2023-01-01","chom_p","SECO","2022","Per","2.2","A"
"2","Affoltern am Albis","2","2023-01-01","etab_t","STATENT","2021","Num","","Q"
"2","Affoltern am Albis","2","2023-01-01","etab_1_9","STATENT","2021","Num","831.0","A"
"2","Affoltern am Albis","2","2023-01-01","etab_10_49","STATENT","2021","Num","126.0","A"
"2","Affoltern am Albis","2","2023-01-01","etab_50_249","STATENT","2021","Num","24.0","A"
"2","Affoltern am Albis","2","2023-01-01","etab_1_249","STATENT","2021","Num","981.0","A"
"2","Affoltern am Albis","2","2023-01-01","etab_250p","STATENT","2021","Num","","Q"
"2","Affoltern am Albis","2","2023-01-01","emp_s1","STATENT","2021","Num","43.0","A"
"2","Affoltern am Albis","2","2023-01-01","emp_s2","STATENT","2021","Num","1243.0","A"
"2","Affoltern am Albis","2","2023-01-01","emp_s3","STATENT","2021","Num","5645.0","A"
"2","Affoltern am Albis","2","2023-01-01","emp_t","STATENT","2021","Num","6931.0","A"
"2","Affoltern am Albis","2","2023-01-01","chom_t","SECO","2022","Num","170.0","A"
"2","Affoltern am Albis","2","2023-01-01","chom_f","SECO","2022","Num","78.0","A"
"2","Affoltern am Albis","2","2023-01-01","chom_s2","SECO","2022","Num","47.0","A"
"2","Affoltern am Albis","2","2023-01-01","chom_s3","SECO","2022","Num","117.0","A"
"2","Affoltern am Albis","2","2023-01-01","chom_com_t","SECO","2022","Num","128.0","A"
"2","Affoltern am Albis","2","2023-01-01","chom_com_f","SECO","2022","Num","44.0","A"
"2","Affoltern am Albis","2","2023-01-01","chom_par_t","SECO","2022","Num","42.0","A"
"2","Affoltern am Albis","2","2023-01-01","chom_par_f","SECO","2022","Num","35.0","A"
"2","Affoltern am Albis","2","2023-01-01","chom_p","SECO","2022","Per","2.5","A"
"52","Bassersdorf","2","2023-01-01","etab_t","STATENT","2021","Num","650.0","A"
"52","Bassersdorf","2","2023-01-01","etab_1_9","STATENT","2021","Num","558.0","A"
"52","Bassersdorf","2","2023-01-01","etab_10_49","STATENT","2021","Num","72.0","A"
"52","Bassersdorf","2","2023-01-01","etab_50_249","STATENT","2021","Num","20.0","A"
"52","Bassersdorf","2","2023-01-01","etab_1_249","STATENT","2021","Num","650.0","A"
"52","Bassersdorf","2","2023-01-01","etab_250p","STATENT","2021","Num","0.0","A"
"52","Bassersdorf","2","2023-01-01","emp_s1","STATENT","2021","Num","40.0","A"
"52","Bassersdorf","2","2023-01-01","emp_s2","STATENT","2021","Num","954.0","A"
"52","Bassersdorf","2","2023-01-01","emp_s3","STATENT","2021","Num","3513.0","A"
"52","Bassersdorf","2","2023-01-01","emp_t","STATENT","2021","Num","4507.0","A"
